,prompt
4706,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well just you have have you. you it is whiskies really i mean. no i not.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well just you just have to have not you. you it is the same with the whisky really i mean. no i would not."
4707,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
if you did. day your appointments you receive phone calls. you asked confirm its date births.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
if you did not. days before your appointment you may receive a phone call. you will be asked to confirm your date of birth."
4708,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
upon tops. no er. he use live villages.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
upon the top. no not er. he used to live in village."
4709,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah she use at then. out this. oh not it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah she used to be at then. not out of that though. oh are not it."
4710,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you. i still got. so have you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you have not been. i have still got. so bad have you."
4711,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
he do any exercise. well that is him. and it good making excuse.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
he just has not done any exercise. well that is up to him. and it is no good making excuses."
4712,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
he police inspectors. oh i know. and they.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
he was a police inspector. oh i do not know. and they were down."
4713,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
plenties competition up here the. oh too really. you er go er lidl.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no plenty of competition up here anyway with the. oh too much really. did you er go into er lidl."
4714,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it good. it quite it was good geese it. if you go again.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it was good. it was quite it was a good goose it was. if so you would go again."
4715,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
which always good. er get there family. so they all so.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
which is always good. get er get in there with the family. so they are all just lovely so."
4716,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh it fine. i just. i am i go out much.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh it is fine. i was just like. i am old i do not go out very much."
4717,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
he go barcelona. yeah so she is back weeks. i not know she hates australia like she want there.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
he went to barcelona. yeah so she is back in a few weeks. i do not know she hates australia like she does not want to be there."
4718,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you recover you get. it get so i. i too.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you will recover you will get there. it is getting there so i am not. i am not too but."
4719,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no do worry. more to er like. those totally.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no do not worry. more than happy to er like. that is totally cool."
4720,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
outskirt. which are house the rights. it down.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
not the outskirts of. which are the new houses on the right. is it down there."
4721,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
from one days the starts. farmer on bus. oh brother gets it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
apart from that one day at the start. is that farmer from still on the bus. oh the brother gets it now."
